Date,contract,name,Delegator APR,Validator APR,Stake Balance,Base Stake,locked,Stake percent,Service fee,Delegation cap,Top up,Number of active nodes,Total number of nodes,Number of delegators,identity,featured,explorerURL,location,rank,score,Check cap if full
2022-04-04,elrondcom,Elrond Community Delegation ð,,14.5,,2182500000000000000000000,3034999999999999983221937,25.36,,,852499999999999983221937,873,,,elrondcom,,,,1,107760,
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq00llllsghg898,Inception Network,12.24,12.36,37670240419735366239511,12500000000000000000000,37670069809260450821190,0.31,100.0,0,25170069809260450821190,5,5.0,3137.0,inceptionnetwork,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq00llllsghg898,,46,600,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq08llllsrvplwg,Trust Staking US,11.72,13.78,63624095584927918171514,37500000000000000000000,63624095584927918171500,0.53,1500.0,100000000000000000000000,26124095584927918171500,15,15.0,762.0,truststakingus,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq08llllsrvplwg,United States,30,1799,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq0hlllls4nnxck,Trust Staking Portugal,11.86,13.95,8071575086000132402449,5000000000000000000000,8071575086000132402448,0.06,1500.0,15000000000000000000000,3071575086000132402448,2,2.0,314.0,truststakingpt,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq0hlllls4nnxck,Portugal,98,240,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq0llllls7g67ne,OpenStake.io,12.66,12.78,12226717910078650194345,5000000000000000000000,12226698992888092327034,0.1,100.0,15000000000000000000000,7226698992888092327034,2,2.0,1419.0,open_stake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq0llllls7g67ne,,83,240,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq20llllsh0uuxv,Stake Capital,12.03,14.15,57177662103227778619125,37500000000000000000000,57177659229910311907470,0.47,1500.0,97049370000000000000000,19677659229910311907470,15,15.0,4836.0,stakecapital_,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq20llllsh0uuxv,,34,1799,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq28llllsu54ydr,Everstake company,11.87,14.28,161638537654397863580811,110000000000000000000000,161638537654397863580796,1.35,1500.0,182000000000000000000000,51638537654397863580796,44,100.0,5228.0,everstake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq28llllsu54ydr,"Kyiv, Ukraine",16,5160,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq2hlllls2t8ama,steak4all ð¥©stake and fine meats,12.86,13.98,7997817909662017323794,5000000000000000000000,7997817909662017323794,0.06,800.0,17323440000000000000000,2997817909662017323794,2,3.0,847.0,steak4all,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq2hlllls2t8ama,"Vancouver, BC",99,240,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq2lllllspsw9sj,Unity Stake,12.06,12.7,38149773702594803842732,15000000000000000000000,38149773702594803842728,0.31,500.0,50000000000000000000000,23149773702594803842728,6,14.0,1880.0,unitystake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq2lllllspsw9sj,,45,720,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq30llllsc4t005,LATAM Staking Pool,12.38,13.75,8550581899105045613629,5000000000000000000000,8550581899105045613628,0.07,1000.0,10000000000000000000000,3550581899105045613628,2,2.0,1080.0,latamsp,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq30llllsc4t005,,95,240,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq3hlllls93swj9,Elrond Philippines Staking,13.51,14.22,7483976033350303270315,5000000000000000000000,7483976033350303270314,0.06,500.0,7482000000000000000000,2483976033350303270314,2,3.0,401.0,zillabytes,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq3hlllls93swj9,,104,240,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq3lllllsw2eke2,Hyperblocks Professional Service,12.48,13.86,33094001946676295503688,20000000000000000000000,33094001946676295503688,0.27,1000.0,50000000000000000000000,13094001946676295503688,8,8.0,1624.0,hyperblockspro,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq3lllllsw2eke2,Singapore,51,954,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq40llllsfjmn54,Forbole,11.77,13.85,62369640820029087226707,37500000000000000000000,62369640820029087226695,0.52,1500.0,85000000000000000000000,24869640820029087226695,15,22.0,1056.0,forbole,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq40llllsfjmn54,Cosmos,31,1799,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq48llllszfjtl6,Gandalf Staking - NFTs as logo,12.73,14.14,30546174479590668349071,20000000000000000000000,30546174479590668349064,0.25,1000.0,50000000000000000000000,10546174479590668349064,8,8.0,1180.0,gandalfnetwork,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq48llllszfjtl6,Middle Earth,54,960,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq4lllllsldf2zt,art3mis.cloud,12.82,12.95,5697768327886555522809,2500000000000000000000,5697768327886555522809,0.04,100.0,5700000000000000000000,3197768327886555522809,1,1.0,424.0,art3mis,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq4lllllsldf2zt,,110,120,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq50lllls8dl5vl,Parasco Staking,10.7,14.26,14774404878965332884786,10000000000000000000000,14773806768178905791476,0.12,1.0,15115000000000000000000,4773806768178905791476,4,4.0,1195.0,parasco1,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq50lllls8dl5vl,Romania,79,359,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq58llllsvkkv8s,B-Harvest,10.96,15.34,40143425762519225288579,35000000000000000000000,40144425762519225288568,0.33,1.0,50000000000000000000000,5144425762519225288568,14,20.0,2389.0,bharvest,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq58llllsvkkv8s,South Korea,43,1199,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5hlllls6fy43w,RAF STAKING,12.85,14.6,23713371246388749826233,17500000000000000000000,23713371246388749826229,0.19,1200.0,32000000000000000000000,6213371246388749826229,7,7.0,1809.0,raf_stake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5hlllls6fy43w,,64,840,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5llllls3jdd6p,Xylius,11.86,15.82,5222126415959296822581,5000000000000000000000,5222126415959296822580,0.04,2500.0,5700000000000000000000,222126415959296822580,2,2.0,101.0,xylius,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5llllls3jdd6p,,111,240,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq68lllls2g8068,WeStake,11.06,14.89,12651173397762956789176,10000000000000000000000,12651173397762956789176,0.1,100.0,15000000000000000000000,2651173397762956789176,4,4.0,873.0,westake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq68lllls2g8068,Europe,82,359,1.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq6hllllsuh4kve,Trust Staking RO,13.44,13.44,4741825337191796874084,2500000000000000000000,4741825337191796874084,0.03,0.0,4742000000000000000000,2241825337191796874084,1,1.0,545.0,truststakingro,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq6hllllsuh4kve,Romania,118,120,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq80llllsrepk69,CastleStake,12.4,12.4,22056621288295345743218,7500000000000000000000,22056611984777866009446,0.18,1.0,25000000000000000000000,14556611984777866009446,3,15.0,2320.0,castlestake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq80llllsrepk69,"Cristian,Sibiu",66,359,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8hlllls7a6h85,Just Mining,12.71,15.22,659070844129711656918828,560000000000000000000000,659070824435496984682976,5.5,1650.0,660999810000000000000000,99070824435496984682976,224,233.0,13100.0,justminingfr,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8hlllls7a6h85,France,2,26839,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8llllls4xn0vm,CryptoBay,12.73,14.46,24591466927427518936656,17500000000000000000000,24591466927427518936650,0.2,1200.0,25000000000000000000000,7091466927427518936650,7,7.0,1514.0,cryptobay,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8llllls4xn0vm,Earth,61,840,0.0
2022-04-04,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq90llllslwfcr3,âï¸ Valid Blocks,12.41,14.19,156941048665730976098114,112500000000000000000000,169441048665730976098080,1.41,700.0,180000000000000000000000,56941048665730976098080,45,40.0,5375.0,validblocks,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq90llllslwfcr3,"Sibiu, Romania",15,5120,0.0
